2026-09-04 09:03:53 | INFO     | aecs_sdc.tier1:prepare_yolo_dataset:141 | Prepared YOLO dataset at /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/disagreement_k250_seed42/yolo_disagreement_k250_seed42: train=250, val=1000
2026-09-04 09:03:53 | INFO     | __main__:train_and_evaluate:277 | Training run train on /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/disagreement_k250_seed42/yolo_disagreement_k250_seed42/data.yaml
2026-09-04 09:06:51 | INFO     | __main__:train_and_evaluate:311 | Evaluating train on held-out human TEST
2026-09-04 09:07:06 | INFO     | __main__:run_experiment:464 | Result disagreement_k250_seed42: mAP50=0.221759 mAP50-95=0.152769
2026-09-04 09:07:36 | INFO     | aecs_sdc.tier1:prepare_yolo_dataset:141 | Prepared YOLO dataset at /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/disagreement_k250_seed43/yolo_disagreement_k250_seed43: train=250, val=1000
2026-09-04 09:07:36 | INFO     | __main__:train_and_evaluate:277 | Training run train on /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/disagreement_k250_seed43/yolo_disagreement_k250_seed43/data.yaml
2026-09-04 09:10:43 | INFO     | __main__:train_and_evaluate:311 | Evaluating train on held-out human TEST
2026-09-04 09:10:59 | INFO     | __main__:run_experiment:464 | Result disagreement_k250_seed43: mAP50=0.228975 mAP50-95=0.159338
2026-09-04 09:11:38 | INFO     | aecs_sdc.tier1:prepare_yolo_dataset:141 | Prepared YOLO dataset at /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/disagreement_k250_seed44/yolo_disagreement_k250_seed44: train=250, val=1000
2026-09-04 09:11:38 | INFO     | __main__:train_and_evaluate:277 | Training run train on /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/disagreement_k250_seed44/yolo_disagreement_k250_seed44/data.yaml
2026-09-04 09:14:45 | INFO     | __main__:train_and_evaluate:311 | Evaluating train on held-out human TEST
2026-09-04 09:15:02 | INFO     | __main__:run_experiment:464 | Result disagreement_k250_seed44: mAP50=0.225183 mAP50-95=0.154317
2026-09-04 09:16:02 | INFO     | aecs_sdc.tier1:prepare_yolo_dataset:141 | Prepared YOLO dataset at /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/entropy_k250_seed42/yolo_entropy_k250_seed42: train=250, val=1000
2026-09-04 09:16:02 | INFO     | __main__:train_and_evaluate:277 | Training run train on /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/entropy_k250_seed42/yolo_entropy_k250_seed42/data.yaml
2026-09-04 09:19:01 | INFO     | __main__:train_and_evaluate:311 | Evaluating train on held-out human TEST
2026-09-04 09:19:16 | INFO     | __main__:run_experiment:464 | Result entropy_k250_seed42: mAP50=0.293934 mAP50-95=0.207121
2026-09-04 09:19:53 | INFO     | aecs_sdc.tier1:prepare_yolo_dataset:141 | Prepared YOLO dataset at /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/entropy_k250_seed43/yolo_entropy_k250_seed43: train=250, val=1000
2026-09-04 09:19:53 | INFO     | __main__:train_and_evaluate:277 | Training run train on /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/entropy_k250_seed43/yolo_entropy_k250_seed43/data.yaml
2026-09-04 09:22:53 | INFO     | __main__:train_and_evaluate:311 | Evaluating train on held-out human TEST
2026-09-04 09:23:10 | INFO     | __main__:run_experiment:464 | Result entropy_k250_seed43: mAP50=0.295847 mAP50-95=0.207869
2026-09-04 09:23:40 | INFO     | aecs_sdc.tier1:prepare_yolo_dataset:141 | Prepared YOLO dataset at /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/entropy_k250_seed44/yolo_entropy_k250_seed44: train=250, val=1000
2026-09-04 09:23:40 | INFO     | __main__:train_and_evaluate:277 | Training run train on /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/entropy_k250_seed44/yolo_entropy_k250_seed44/data.yaml
2026-09-04 09:26:33 | INFO     | __main__:train_and_evaluate:311 | Evaluating train on held-out human TEST
2026-09-04 09:26:48 | INFO     | __main__:run_experiment:464 | Result entropy_k250_seed44: mAP50=0.282968 mAP50-95=0.198411
2026-09-04 09:31:41 | INFO     | aecs_sdc.tier1:prepare_yolo_dataset:141 | Prepared YOLO dataset at /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/hybrid_k250_seed42/yolo_hybrid_k250_seed42: train=250, val=1000
2026-09-04 09:31:41 | INFO     | __main__:train_and_evaluate:277 | Training run train on /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/hybrid_k250_seed42/yolo_hybrid_k250_seed42/data.yaml
2026-09-04 09:34:44 | INFO     | __main__:train_and_evaluate:311 | Evaluating train on held-out human TEST
2026-09-04 09:35:00 | INFO     | __main__:run_experiment:464 | Result hybrid_k250_seed42: mAP50=0.244623 mAP50-95=0.168119
2026-09-04 09:40:02 | INFO     | aecs_sdc.tier1:prepare_yolo_dataset:141 | Prepared YOLO dataset at /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/hybrid_k250_seed43/yolo_hybrid_k250_seed43: train=250, val=1000
2026-09-04 09:40:03 | INFO     | __main__:train_and_evaluate:277 | Training run train on /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/hybrid_k250_seed43/yolo_hybrid_k250_seed43/data.yaml
2026-09-04 09:43:09 | INFO     | __main__:train_and_evaluate:311 | Evaluating train on held-out human TEST
2026-09-04 09:43:24 | INFO     | __main__:run_experiment:464 | Result hybrid_k250_seed43: mAP50=0.257666 mAP50-95=0.178207
2026-09-04 09:48:04 | INFO     | aecs_sdc.tier1:prepare_yolo_dataset:141 | Prepared YOLO dataset at /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/hybrid_k250_seed44/yolo_hybrid_k250_seed44: train=250, val=1000
2026-09-04 09:48:04 | INFO     | __main__:train_and_evaluate:277 | Training run train on /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/hybrid_k250_seed44/yolo_hybrid_k250_seed44/data.yaml
2026-09-04 09:51:03 | INFO     | __main__:train_and_evaluate:311 | Evaluating train on held-out human TEST
2026-09-04 09:51:18 | INFO     | __main__:run_experiment:464 | Result hybrid_k250_seed44: mAP50=0.251299 mAP50-95=0.171682
2026-09-04 09:51:57 | INFO     | aecs_sdc.tier1:prepare_yolo_dataset:141 | Prepared YOLO dataset at /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/random_k500_seed42/yolo_random_k500_seed42: train=500, val=1000
2026-09-04 09:51:57 | INFO     | __main__:train_and_evaluate:277 | Training run train on /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/random_k500_seed42/yolo_random_k500_seed42/data.yaml
2026-09-04 09:55:58 | INFO     | __main__:train_and_evaluate:311 | Evaluating train on held-out human TEST
2026-09-04 09:56:13 | INFO     | __main__:run_experiment:464 | Result random_k500_seed42: mAP50=0.146406 mAP50-95=0.098939
2026-09-04 09:56:48 | INFO     | aecs_sdc.tier1:prepare_yolo_dataset:141 | Prepared YOLO dataset at /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/random_k500_seed43/yolo_random_k500_seed43: train=500, val=1000
2026-09-04 09:56:48 | INFO     | __main__:train_and_evaluate:277 | Training run train on /scratch/rpachgha/aecs-sdc/results/tier1b/datasets/random_k500_seed43/yolo_random_k500_seed43/data.yaml
2026-09-04 10:00:55 | INFO     | __main__:train_and_evaluate:311 | Evaluating train on held-out human TEST
